2018 rank,name,2017 rank,popularity,gender,syllables
1,Liam,1,10272,male,2
2,Noah,2,9359,male,2
3,Oliver,9,6491,male,3
4,Mason,7,7360,male,2
5,Logan,5,6188,male,2
6,Lucas,11,6142,male,2
7,Elijah,8,6062,male,3
8,Ethan,14,6418,male,2
9,James,4,5349,male,1
10,Aiden,17,5225,male,1
11,Carter,24,4814,male,2
12,Jackson,20,4602,male,2
13,Sebastian,22,4569,male,3
14,Alexander,13,4503,male,3
15,Michael,12,4441,male,2
16,Benjamin,6,4436,male,3
17,Jacob,10,4337,male,2
18,William,3,4129,male,2
19,Jack,35,4067,male,1
20,Grayson,34,4001,male,2
21,Owen,28,3992,male,2
22,Luke,30,3980,male,1
23,Daniel,15,3972,male,1
24,Henry,18,3967,male,2
25,Jayden,26,3810,male,2
26,Wyatt,25,3810,male,2
27,Gabriel,31,3760,male,3
28,Julian,36,3706,male,3
29,Leo,61,3669,male,2
30,David,23,3602,male,2
31,Matthew,16,3602,male,2
32,Jaxon,44,3561,male,2
33,Levi,37,3532,male,2
34,Mateo,42,3428,male,3
35,Samuel,21,3291,male,3
36,Muhammad,366,3258,male,3
37,Lincoln,41,3224,male,2
38,John,27,3208,male,1
39,Asher,59,3137,male,2
40,Isaac,33,3137,male,2
41,Ryan,43,3108,male,1
42,Adam,77,3104,male,2
43,Isaiah,47,3071,male,3
44,Josiah,51,3021,male,3
45,Caleb,50,2996,male,2
46,Nathan,45,2992,male,2
47,Hunter,53,2980,male,2
48,Anthony,32,2963,male,3
49,Joseph,19,2950,male,2
50,Eli,54,2913,male,1
51,Dylan,29,2876,male,2
52,Landon,57,2847,male,2
53,Connor,56,2751,male,2
54,Hudson,64,2751,male,2
55,Joshua,39,2718,male,3
56,Andrew,40,2648,male,2
57,Ezra,69,2631,male,2
58,Adrian,58,2598,male,3
59,Christian,52,2573,male,2
60,Thomas,48,2535,male,2
61,Jeremiah,63,2527,male,4
62,Greyson,80,2515,male,2
63,Carson,83,2494,male,2
64,Christopher,38,2374,male,3
