2018 rank,name,2017 rank,popularity,gender,syllables
1,Emma,1,10748,female,2
2,Olivia,2,10117,female,3
3,Ava,3,9157,female,2
4,Isabella,4,8100,female,4
5,Sophia,5,7606,female,3
6,Amelia,8,7226,female,4
7,Mia,6,6794,female,2
8,Charlotte,7,6254,female,2
9,Harper,11,5902,female,2
10,Mila,30,5385,female,2
11,Aria,20,4879,female,3
12,Ella,16,4414,female,2
13,Evelyn,9,4300,female,3
14,Avery,14,4249,female,3
15,Riley,25,4004,female,2
16,Abigail,10,3987,female,3
17,Emily,12,3982,female,3
18,Luna,37,3902,female,2
19,Chloe,22,3823,female,2
20,Scarlett,18,3755,female,3
21,Sofia,15,3686,female,2
22,Layla,26,3621,female,2
23,Lily,33,3561,female,2
24,Ellie,44,3508,female,2
25,Madison,17,3482,female,3
26,Zoey,29,3442,female,2
27,Elizabeth,13,3372,female,4
28,Grace,21,3306,female,1
29,Penelope,24,3226,female,4
30,Victoria,19,3175,female,4
31,Nora,28,3130,female,2
32,Aubrey,31,2988,female,2
33,Camila,23,3005,female,3
34,Hannah,32,2993,female,2
35,Bella,50,2944,female,2
36,Aurora,51,2914,female,3
37,Addison,34,2687,female,3
38,Savannah,38,2679,female,3
39,Stella,42,2692,female,2
40,Skylar,47,2658,female,2
41,Paisley,45,2639,female,2
42,Maya,61,2521,female,2
43,Natalie,36,2509,female,3
44,Emilia,74,2453,female,4
45,Violet,48,2442,female,2
46,Elena,67,2431,female,3
47,Hazel,43,2408,female,2
48,Nova,95,2374,female,2
49,Niamey,18815,5,female,3
50,Lucy,52,2346,female,2
51,Eva,73,2352,female,2
52,Brooklyn,39,2340,female,2
53,Zoe,41,2317,female,2
54,Audrey,46,2318,female,2
55,Hailey,72,2187,female,2
56,Lillian,27,2135,female,3
57,Aaliyah,57,2132,female,3
58,Eleanor,35,2136,female,3
59,Kinsley,59,2092,female,2
60,Alice,70,2086,female,2
61,Leah,40,2075,female,2
62,Adeline,64,2033,female,3
63,Sophie,106,2019,female,2
64,Claire,49,2019,female,1
65,Sarah,62,1979,female,2
66,Kennedy,58,1954,female,3
67,Arya,135,1940,female,3
68,Eliana,88,1917,female,4
69,Willow,81,1906,female,2
70,Gabriella,68,1880,female,4
71,Peyton,89,1850,female,2
72,Everly,82,1838,female,3
73,Naomi,69,1833,female,3
74,Quinn,76,1833,female,1
75,Anna,53,1827,female,2
76,Isla,103,1782,female,2
77,Madelyn,63,1776,female,3
78,Maria,111,1755,female,2
79,Athena,127,1709,female,3
80,Ariana,66,1703,female,4
81,Cora,83,1680,female,2
82,Caroline,55,1663,female,3
83,Julia,93,1658,female,3
84,Aubree,86,1658,female,2
85,Brielle,101,1652,female,2
86,Gianna,91,1641,female,3
87,Rylee,104,1624,female,2
88,Autumn,76,1624,female,2
89,Valentina,94,1618,female,4
90,Ruby,79,1618,female,2
91,Clara,96,1618,female,2
92,Adalynn,116,1613,female,3
93,Nevaeh,77,1584,female,3
94,Sadie,71,1568,female,2
95,Delilah,102,1568,female,3
96,Ivy,108,1551,female,2
97,Piper,78,1539,female,2
98,Serenity,80,1534,female,4
99,Mackenzie,99,1522,female,3
100,Emery,115,1517,female,3
101,Jade,110,1494,female,1
102,Isabelle,92,1483,female,3
103,Kaylee,84,1472,female,2
104,Arianna,87,1455,female,4
105,Lydia,85,1449,female,3
106,Hadley,113,7145,female,2
107,Liliana,109,1432,female,4
108,Leilani,129,1427,female,3
109,Samantha,54,1408,female,3
110,Nur,5704,1391,female,1
111,Madeline,100,1398,female,3
112,Charlie,154,1342,female,2
113,Raelynn,124,1331,female,2
114,Taylor,112,1325,female,2
115,Reagan,98,1319,female,2
116,Sara,158,1308,female,2
117,Faith,119,1308,female,1
118,Kylie,114,1308,female,2
119,Genesis,56,1297,female,3
120,Rose,141,1297,female,1
121,Melanie,90,1280,female,3
122,Lyla,131,1257,female,2
123,Allison,60,1246,female,2
124,Norah,136,1229,female,2
125,Jhazelle,11890,1,female,2
126,Aneesah,8996,5,female,3
127,Anzani,18815,1,female,3
128,Isabel,145,1218,female,3
129,Jasmine,130,1195,female,2
130,Natalia,117,1195,female,4
131,Vivian,97,1161,female,3
132,Lilly,153,1156,female,2
133,Melody,143,1139,female,3
134,Arabella,157,1128,female,4
135,Alexandra,120,1128,female,4
136,Adalyn,134,1122,female,3
137,Amara,208,1102,female,3
138,Amaya,176,1111,female,3
139,Eliza,140,1082,female,3
140,Alexis,144,1071,female,3
141,Ayla,233,1073,female,2
142,Alexa,65,1060,female,3
